Tweet,Label
Just got promoted! Hard work pays off! 💪 What a day! 🌞,Positive
Spilled coffee on my shirt right before the interview. Classic me. Everything is just falling apart.,Negative
Feeling great today! Had an amazing dinner with friends. So grateful!,Positive
This new playlist is pure joy. Music is life! 🎶 What a day! 🌞,Positive
Why does everything go wrong on Mondays? Worst day in a while.,Negative
Feeling great today! This new playlist is pure joy. Music is life! 🎶,Positive
"Oh great, Love it when my phone dies right before an important call 🙄 That’s exactly what I needed.",Negative Sarcasm
Feeling great today! This new playlist is pure joy. Music is life! 🎶,Positive
Why does everything go wrong on Mondays? Everything is just falling apart.,Negative
Had an amazing dinner with friends. So grateful! Couldn't be happier!,Positive
I’m totally fine with being ghosted. Makes me feel *super* special. Just perfect. 🙃,Negative Sarcasm
Loving how Love it when my phone dies right before an important call 🙄 happens every time.,Negative Sarcasm
Had an amazing dinner with friends. So grateful! Couldn't be happier!,Positive
Spilled coffee on my shirt right before the interview. Classic me. Worst day in a while.,Negative
"Ugh, missed my flight. Worst day ever. 😡 Everything is just falling apart.",Negative
"Oh great, My laptop just crashed and I lost all my work. Fantastic. That’s exactly what I needed.",Negative Sarcasm
Feeling great today! Can’t stop smiling today! Everything’s going my way! 😊,Positive
"Can’t believe my luck... Oh no, free dessert with my meal? How will I ever cope? 🍰😜",Positive Sarcasm
Why does everything go wrong on Mondays? Everything is just falling apart.,Negative
Spilled coffee on my shirt right before the interview. Classic me. Worst day in a while.,Negative
"Wow, I actually passed the exam! So relieved! Couldn't be happier!",Positive
"Ugh, missed my flight. Worst day ever. 😡 Everything is just falling apart.",Negative
"Oh great, My laptop just crashed and I lost all my work. Fantastic. That’s exactly what I needed.",Negative Sarcasm
"Loving how Yay, another power outage. Loving the dark vibes. 😒 happens every time.",Negative Sarcasm
Had an amazing dinner with friends. So grateful! Couldn't be happier!,Positive
Got stuck in traffic for 2 hours. Totally how I wanted to spend my evening. Just perfect. 🙃,Negative Sarcasm
"Oh wow, Oh great, another sunny day at the beach... what a terrible fate 😏 I'm just thrilled. 😏",Positive Sarcasm
"Can’t believe my luck... Oh great, another sunny day at the beach... what a terrible fate 😏",Positive Sarcasm
"Loving how Yay, another power outage. Loving the dark vibes. 😒 happens every time.",Negative Sarcasm
Can’t believe my luck... I hate it when I get good news... said no one ever. 😒,Positive Sarcasm
"Can’t believe my luck... Oh great, another sunny day at the beach... what a terrible fate 😏",Positive Sarcasm
So done with today. Why does everything go wrong on Mondays?,Negative
Feeling great today! Can’t stop smiling today! Everything’s going my way! 😊,Positive
Loving how I’m totally fine with being ghosted. Makes me feel *super* special. happens every time.,Negative Sarcasm
Loving how Love it when my phone dies right before an important call 🙄 happens every time.,Negative Sarcasm
Feeling great today! This new playlist is pure joy. Music is life! 🎶,Positive
So done with today. Spilled coffee on my shirt right before the interview. Classic me.,Negative
Feeling great today! My friends surprised me with a birthday party. Best people ever! 🎉,Positive
I hate it when I get good news... said no one ever. 😒 Because good things are *such* a burden.,Positive Sarcasm
"Loving how Yay, another power outage. Loving the dark vibes. 😒 happens every time.",Negative Sarcasm
This new playlist is pure joy. Music is life! 🎶 Couldn't be happier!,Positive
"Wow, I actually passed the exam! So relieved! Couldn't be happier!",Positive
Had an amazing dinner with friends. So grateful! Couldn't be happier!,Positive
"Can’t believe my luck... Oh no, free dessert with my meal? How will I ever cope? 🍰😜",Positive Sarcasm
Why does everything go wrong on Mondays? Everything is just falling apart.,Negative
Loving how My laptop just crashed and I lost all my work. Fantastic. happens every time.,Negative Sarcasm
"Oh great, Yay, another power outage. Loving the dark vibes. 😒 That’s exactly what I needed.",Negative Sarcasm
"Oh no, free dessert with my meal? How will I ever cope? 🍰😜 Because good things are *such* a burden.",Positive Sarcasm
This new playlist is pure joy. Music is life! 🎶 Couldn't be happier!,Positive
Can’t stop smiling today! Everything’s going my way! 😊 What a day! 🌞,Positive
Can’t believe my luck... I hate it when I get good news... said no one ever. 😒,Positive Sarcasm
Feeling great today! My friends surprised me with a birthday party. Best people ever! 🎉,Positive
So done with today. Why does everything go wrong on Mondays?,Negative
Why does everything go wrong on Mondays? Worst day in a while.,Negative
Feeling great today! Can’t stop smiling today! Everything’s going my way! 😊,Positive
"Ugh, missed my flight. Worst day ever. 😡 Worst day in a while.",Negative
This new playlist is pure joy. Music is life! 🎶 What a day! 🌞,Positive
"Loving how Yay, another power outage. Loving the dark vibes. 😒 happens every time.",Negative Sarcasm
Feeling great today! Had an amazing dinner with friends. So grateful!,Positive
Feeling great today! Had an amazing dinner with friends. So grateful!,Positive
Loving how Love it when my phone dies right before an important call 🙄 happens every time.,Negative Sarcasm
Had an amazing dinner with friends. So grateful! What a day! 🌞,Positive
Why does everything go wrong on Mondays? Worst day in a while.,Negative
Loving how My laptop just crashed and I lost all my work. Fantastic. happens every time.,Negative Sarcasm
I’m totally fine with being ghosted. Makes me feel *super* special. Just perfect. 🙃,Negative Sarcasm
This new playlist is pure joy. Music is life! 🎶 What a day! 🌞,Positive
Had an amazing dinner with friends. So grateful! Couldn't be happier!,Positive
